months,ICO composite indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
07/1996,2.2068432671081677,0.7818984547461363,0.49668874172185395,0.15364238410596043,-0.49690949227373093
08/1996,2.2677704194260486,0.7715231788079469,0.5185430463576157,0.12251655629139035,-0.5189845474613688
09/1996,2.1306843267108166,0.5911699779249444,0.4896247240618101,0.14525386313465782,-0.48962472406181035
10/1996,2.175717439293598,0.6448123620309048,0.5660044150110375,0.15916114790286962,-0.5660044150110375
11/1996,2.144370860927152,0.7123620309050773,0.5944812362030905,0.14613686534216352,-0.5947019867549668
12/1996,1.9876379690949224,0.8028697571743928,0.5955849889624725,0.3017660044150112,-0.5955849889624723
01/1997,2.208167770419426,1.018763796909492,0.7247240618101545,0.6015452538631343,-0.724944812362031
02/1997,2.690728476821192,1.4730684326710812,1.026048565121413,0.8459161147902869,-1.026269315673289
03/1997,3.034657836644591,1.6664459161147906,1.263355408388521,0.9333333333333336,-1.2635761589403969
04/1997,3.139072847682119,1.2587196467991166,1.4302428256070643,0.9167770419426047,-1.4306843267108165
05/1997,3.983222958057395,3.047682119205298,1.9167770419426047,0.6441501103752758,-1.916997792494481
06/1997,3.430022075055187,1.584326710816777,1.4710816777041948,0.636423841059603,-1.471081677704194
07/1997,2.9810154525386308,1.225827814569536,1.2222958057395141,0.5183222958057399,-1.2227373068432665
08/1997,2.9278145695364235,1.3428256070640177,1.2841059602649012,0.5655629139072849,-1.2843267108167769
09/1997,2.925165562913907,1.4079470198675499,1.2662251655629144,0.7783664459161153,-1.2662251655629135
10/1997,2.6730684326710814,1.0664459161147897,1.0280353200883003,0.6849889624724068,-1.0280353200883001
11/1997,2.6083885209713022,0.9540838852097129,0.9295805739514349,0.6823399558498893,-0.929801324503311
12/1997,2.8701986754966886,1.1766004415011033,1.0467991169977924,0.9072847682119205,-1.0467991169977926
01/1998,2.883222958057395,1.183222958057395,1.0417218543046358,1.086534216335541,-1.0419426048565124
02/1998,2.886975717439294,1.3203090507726265,1.0463576158940393,1.037527593818984,-1.0467991169977928
03/1998,2.6474613686534214,1.0185430463576157,0.8326710816777041,0.7706401766004416,-0.833112582781457
04/1998,2.641501103752759,0.8501103752759378,0.677483443708609,0.47350993377483475,-0.6774834437086092
05/1998,2.521633554083885,0.7086092715231791,0.5185430463576157,0.23532008830022066,-0.5185430463576162
06/1998,2.2922737306843266,0.7061810154525392,0.46556291390728477,0.005518763796909187,-0.4660044150110374
07/1998,2.1483443708609267,0.6116997792494483,0.447682119205298,-0.024282560706401668,-0.44768211920529755
08/1998,2.2350993377483444,0.6225165562913904,0.48476821192052943,0.014790286975717493,-0.4847682119205299
09/1998,2.1152317880794698,0.47991169977924963,0.3538631346578369,-0.06754966887417169,-0.35364238410596016
10/1998,2.097350993377483,0.44150110375275986,0.32472406181015456,-0.08145695364238392,-0.32472406181015434
11/1998,2.169094922737307,0.518322295805739,0.39955849889624684,-0.03509933774834462,-0.3995584988962475
12/1998,2.2236203090507725,0.5128035320088298,0.3677704194260487,-0.009933774834437248,-0.3679911699779248
01/1999,2.1549668874172183,0.5618101545253862,0.33863134657836635,0.03995584988962486,-0.3384105960264898
02/1999,2.0388520971302424,0.5421633554083889,0.2896247240618104,-0.014128035320088106,-0.2898454746136865
03/1999,1.9735099337748343,0.6103752759381895,0.3529801324503312,-0.011037527593818597,-0.3527593818984547
04/1999,1.89205298013245,0.6249448123620311,0.36203090507726277,0.009492273730684397,-0.36181015452538623
05/1999,1.9759381898454744,0.7602649006622515,0.4759381898454744,0.14966887417218566,-0.47615894039735074
06/1999,1.9072847682119205,0.7737306843267104,0.45938189845474575,0.1167770419426053,-0.4593818984547462
07/1999,1.7262693156732891,0.6368653421633552,0.36732891832229564,-0.0015452538631346435,-0.36732891832229586
08/1999,1.704635761589404,0.6194260485651211,0.31214128035320066,-0.012141280353201056,-0.3123620309050774
09/1999,1.5880794701986751,0.5701986754966888,0.27306843267108194,-0.033333333333333215,-0.2730684326710815
10/1999,1.685651214128035,0.6033112582781459,0.39381898454746156,0.052538631346578324,-0.3938189845474611
11/1999,1.9474613686534217,0.8507726269315672,0.5554083885209709,0.2249448123620308,-0.5554083885209715
