year,min_price_min,max_price_max,total_exports
1990-01-01,1.09205298013245,2.280353200883002,93230.05959999996
1991-01-01,0.9911699779249448,2.1933774834437085,101266.6844
1992-01-01,0.8205298013245033,1.799558498896247,98525.8992
1993-01-01,0.990728476821192,1.9278145695364235,91764.6216
1994-01-01,1.3110375275938189,5.110816777041943,93313.19399999996
1995-01-01,2.0505518763796906,4.100441501103752,87317.45820000001
1996-01-01,1.3920529801324502,3.17991169977925,103302.596
1997-01-01,1.483222958057395,7.030905077262693,99861.19899999998
1998-01-01,1.7006622516556291,4.20728476821192,108892.2131
1999-01-01,1.291832229580574,3.0982339955849887,131383.79670000004
2000-01-01,0.6706401766004414,2.8726269315673285,113766.97269999998
2001-01-01,0.51280353200883,1.7863134657836643,107899.1264
2002-01-01,0.503532008830022,1.5607064017660044,122615.81190000004
2003-01-01,0.752980132450331,1.4911699779249443,105506.80969999998
2004-01-01,0.6991169977924945,2.334437086092715,116065.746
2005-01-01,0.8158940397350993,2.99205298013245,111170.63630000004
2006-01-01,1.3156732891832228,2.900883002207505,135390.6429
2007-01-01,1.6997792494481234,3.093156732891832,121842.45980000004
2008-01-01,1.8214128035320087,3.529801324503311,134799.69430000003
2009-01-01,1.533774834437086,4.681015452538631,127973.8147
2010-01-01,1.4845474613686531,5.783002207505519,142017.53760000004
2011-01-01,2.1465783664459157,6.908388520971301,142475.38770000002
2012-01-01,2.1322295805739513,5.649227373068432,151284.51209999996
2013-01-01,1.759602649006622,3.734878587196467,154095.31480000002
2014-01-01,1.936644591611479,4.973289183222957,149753.04210000002
2015-01-01,1.7501103752759382,4.194260485651213,153987.64489999998
2016-01-01,1.634437086092715,4.064459161147902,159915.54339999997
2017-01-01,1.9335540838852097,3.722075055187638,158074.18419999996
2018-01-01,1.6931567328918322,3.173730684326711,170936.73769999997
