exports,year,export,rank
Indonesia,2013-01-01,9254.8073308,4.0
Viet Nam,2013-01-01,19717.7644142,2.0
Brazil,2014-01-01,37335.1728254,1.0
Colombia,2014-01-01,10954.4083574,3.0
India,2014-01-01,5130.9142699,5.0
Indonesia,2014-01-01,6174.8097126,4.0
Viet Nam,2014-01-01,26097.1441598,2.0
Brazil,2015-01-01,37562.8467468,1.0
Colombia,2015-01-01,12716.3846704,3.0
India,2015-01-01,5262.2938866,5.0
Indonesia,2015-01-01,8378.6875964,4.0
Viet Nam,2015-01-01,20654.5100957,2.0
Brazil,2016-01-01,34269.1502534,1.0
Colombia,2016-01-01,12831.3907266,3.0
India,2016-01-01,6086.1197369,5.0
Indonesia,2016-01-01,6545.3920455,4.0
Viet Nam,2016-01-01,27568.1416844,2.0
Brazil,2017-01-01,30924.5678492,1.0
Colombia,2017-01-01,12984.5957468,3.0
Honduras,2017-01-01,7340.8439517,5.0
Indonesia,2017-01-01,8197.5739739,4.0
Viet Nam,2017-01-01,22439.3645927,2.0
Brazil,2018-01-01,35382.5564866,1.0
Colombia,2018-01-01,12807.9726245,3.0
Honduras,2018-01-01,7143.8844713,4.0
India,2018-01-01,5967.2246041,5.0
Viet Nam,2018-01-01,27866.1415878,2.0
